"Lion King II: Simbas Pride, The",1998,81,G,
Mighty Joe Young,1998,114,PG,
I'll Be Home for Christmas,1998,86,PG,
Air Bud: Golden Receiver,1998,90,G,
Pocahontas II: Journey to a New World,1998,72,G,
"Parent Trap, The (new)",1998,127,PG,
Mulan,1998,88,G,
Meet the Deedles,1998,93,PG,
"Wonderful Ice Cream Suit, The",1998,77,PG,
"Knight In Camelot, A",1998,90,NR,
Brink!,1998,99,NR,
Halloweentown,1998,84,G,
You Lucky Dog,1998,89,G,
Mr. Magoo,1997,87,PG,
Flubber,1997,93,PG,
Hercules,1997,92,G,
George of the Jungle,1997,92,PG,
"Darn Cat, That",1997,89,PG,
Air Bud,1997,98,PG,
Angels in the Endzone,1997,88,,
Northern Lights,1997,111,NR,
Under Wraps,1997,95,NR,
Rocket Man,1997,95,PG,
Jungle 2 Jungle,1997,105,PG,
Beauty and the Beast: The Enchanted Christmas,1997,72,G,
Tower of Terror,1997,89,UR,
Oliver Twist,1997,91,UR,
Muppet Treasure Island,1996,99,G,
101 Dalmatians,1996,103,G,
"Hunchback of Notre Dame, The",1996,91,G,
D3: The Mighty Ducks,1996,104,PG,
Homeward Bound II: Lost in San Francisco,1996,89,G,
James and the Giant Peach,1996,79,PG,
First Kid,1996,101,PG,
Toy Story,1995,85,G,
Tom and Huck,1995,97,PG,
"Big Green, The",1995,100,PG,
"Kid in King Arthur's Court, A",1995,89,PG,
Operation Dumbo Drop,1995,107,PG,
Pocahontas,1995,81,G,
"Goofy Movie, A",1995,78,G,
Heavy Weights,1995,100,PG,
Man of the House,1995,96,PG,
Tall Tale,1995,98,PG,
Gordy,1995,90,G,
"Lion King, The",1994,89,G,
"Santa Clause, The",1994,97,PG,
Angels in the Outfield,1994,102,PG,
D2: The Mighty Ducks,1994,106,PG,
White Fang 2,1994,106,PG,
Iron Will,1994,108,PG,
Blank Check,1994,93,PG,
Rudyard Kipling's The Jungle Book,1994,111,PG,
Squanto: A Warrior's Tale,1994,102,PG,
"Adventures of Huck Finn, The",1993,108,PG,
Cool Runnings,1993,98,PG,
Homeward Bound: The Incredible Journey,1993,84,G,
"Three Musketeers, The",1993,105,PG,
Hocus Pocus,1993,96,PG,
"Far Off Place, A",1993,100,PG,
"Nightmare Before Christmas, The",1993,76,PG,
Heidi,1993,193,G,
Aladdin,1992,90,G,
Newsies,1992,121,PG,
"Mighty Ducks, The",1992,100,PG,
"Muppet Christmas Carol, The",1992,85,G,
Honey I Blew Up the Kid,1992,89,PG,
Beauty and the Beast,1991,84,G,
White Fang,1991,107,PG,
Rocketeer,1991,108,PG,
Wild Hearts Can't Be Broken,1991,88,G,
"Rescuers Down Under, The",1990,77,G,
DuckTales: The Movie - Treasure of the Lost Lamp,1990,74,G,
Shipwrecked,1990,92,PG,
"Little Mermaid, The",1989,83,G,
Cheetah,1989,83,G,
"Honey, I Shrunk the Kids",1989,93,PG,
Oliver and Company,1988,74,g,
Return to Snowy River,1988,110,PG,
"Brave Little Toaster, The",1987,90,,
Benji the Hunted,1987,88,G,
Flight of the Navigator,1986,90,PG,
Basil - The Great Mouse Detective,1986,74,G,
I-Man,1986,96,NR,
One Magic Christmas,1985,88,G,
"Journey of Natty Gann, The",1985,101,PG,
"Black Cauldron, The",1985,80,PG,
Return to Oz,1985,113,PG,
Where the Toys Come From,1984,58,NR,
Love Leads the Way,1984,99,NR,
Never Cry Wolf,1983,91,PG,
Tiger Town,1983,95,NR,
Trenchcoat,1983,91,PG,
Something Wicked This Way Comes,1983,95,PG,
Tron,1982,96,PG,
Night Crossing,1982,107,PG,
Tex,1982,103,PG,
"Fox and the Hound, The",1981,83,G,
Condorman,1981,90,PG,
"Devil and Max Devlin, The",1981,96,PG,
Amy,1981,100,G,
Dragonslayer,1981,108,PG,
Herbie Goes Bananas,1980,100,G,
Last Flight of Noah's Ark. The,1980,97,G,
Popeye,1980,114,PG,
Midnight Madness,1980,112,PG,
"Watcher in the Woods, The",1980,84,PG,
Apple Dumpling Gang Rides Again,1979,88,G,
"Black Hole, The",1979,98,PG,
"North Avenue Irregulars, The",1979,100,G,
Unidentified Flying Oddball,1979,93,G,
"Muppet Movie, The",1979,95,G,
"Cat from Outer Space, The",1978,104,G,
Return from Witch Mountain,1978,95,G,
Hot Lead and Cold Feet,1978,90,G,
Herbie Goes to Monte Carlo,1977,105,G,
Pete's Dragon,1977,128,G,
"Many Adventures of Winnie the Pooh, The",1977,74,G,
"Tale of Two Critters, A",1977,48,G,
"Rescuers, The",1977,78,G,
Candleshoe,1977,101,G,
Gus,1976,96,G,
"Shaggy D.A., The",1976,91,G,
Freaky Friday,1976,95,G,
"No Deposit, No Return",1976,112,G,
Treasure of Matecumbe,1976,117,G,
Escape From The Dark (The Littlest Horse Thieves),1976,104,G,
"Apple Dumpling Gang, The",1975,100,G,
"Strongest Man in the World, The",1975,92,G,
Escape to Witch Mountain,1975,97,G,
One of Our Dinosaurs is Missing,1975,100,G,
"Boy Who Talked to Badgers, The",1975,98,,
Ride A Wild Pony,1975,91,G,
Herbie Rides Again,1974,88,G,
"Bears and I, The",1974,89,G,
Castaway Cowboy,1974,91,G,
"Island at the Top of the World, The",1974,93,NR,
Robin Hood,1973,83,G,
Superdad,1973,96,G,
Mustang,1973,0,N/A,
One Little Indian,1973,90,G,
Charley and the Angel,1973,93,G,
"World's Greatest Athlete, The",1973,93,G,
"Now You See Him, Now You Don't",1972,88,G,
"Biscuit Eater, The",1972,90,G,
Snowball Express,1972,93,NR,
Napoleon and Samantha,1972,92,G,
"Run, Cougar, Run",1972,87,G,
"Chandar, the Black Leopard of Ceylon",1972,90,NR,
Bedknobs and Broomsticks,1971,117,G,
"Million Dollar Duck, The",1971,89,G,
"Barefoot Executive, The",1971,96,NR,
Scandalous John,1971,113,NR,
"AristoCats, The",1970,78,G,
Smoke,1970,80,NR,
"Boatniks, The",1970,99,G,
King of the Grizzlies,1970,93,G,
"Wild Country, The",1970,100,G,
"Computer Wore Tennis Shoes, The",1969,91,G,
Smith!,1969,112,G,
Rascal,1969,85,G,
"Love Bug, The",1968,107,G,
"Horse in the Gray Flannel Suit, The",1968,113,G,
"One and Only, Genuine, Original Family Band, The",1968,110,G,
Blackbeard's Ghost,1968,106,G,
Never A Dull Moment,1968,99,G,
"Jungle Book, The",1967,78,G,
"Monkeys, Go Home!",1967,101,NR,
"Adventures of Bullwhip Griffin, The",1967,108,NR,
"Gnome-Mobile, The",1967,84,NR,
"Charlie, the Lonesome Cougar",1967,75,NR,
"Happiest Millionaire, The",1967,141,G,
"Ugly Dachshund, The",1966,93,NR,
"Lt. Robin Crusoe, U.S.N.",1966,95,NR,
"Fighting Prince of Donegal, The",1966,110,NR,
"Follow Me, Boys!",1966,131,NR,
"Darn Cat, That",1965,116,G,
Those Calloways,1965,126,NR,
"Monkey's Uncle, The",1965,87,NR,
Mary Poppins,1964,139,G,
Emil and the Detectives,1964,92,NR,
"Moon Spinners, The",1964,118,G,
"Three Lives of Thomasina, The",1964,97,NR,
"Misadventures of Merlin Jones, The",1964,91,NR,
"Tiger Walks, A",1964,91,NR,
"Sword in the Stone, The",1963,79,G,
"Incredible Journey, The",1963,80,G,
Summer Magic,1963,109,G,
Miracle of the White Stallions,1963,93,G,
Savage Sam,1963,103,NR,
Son of Flubber,1963,100,,
Bon Voyage!,1962,130,NR,
Big Red,1962,89,NR,
Moon Pilot,1962,98,NR,
In Search of Castaways,1962,98,NR,
Almost Angels,1962,93,NR,
"Legend of Lobo, The",1962,69,G,
101 Dalmatians (Animated),1961,79,G,
"Absent-Minded Professor, The",1961,92,NR,
"Parent Trap, The",1961,129,NR,
Babes in Toyland,1961,106,NR,
Greyfriars Bobby,1961,87,NR,
Swiss Family Robinson,1960,126,G,
Toby Tyler,1960,96,G,
Pollyanna,1960,134,G,
Kidnapped,1960,95,PG,
Ten Who Dared,1960,92,NR,
"Sign of Zorro, The",1960,91,NR,
Sleeping Beauty,1959,75,G,
"Shaggy Dog, The",1959,104,G,
Darby O'Gill and the Little People,1959,93,NR,
Third Man on the Mountain,1959,105,G,
Tonka,1958,98,NR,
"Light in the Forest, The",1958,83,NR,
Old Yeller,1957,83,G,
Johnny Tremain,1957,80,NR,
"Great Locomotive Chase, The",1956,85,NR,
Davy Crockett and the River Pirates,1956,81,G,
"Westward Ho, The Wagons!",1956,90,NR,
Lady and the Tramp,1955,76,G,
"Davy Crockett, King of the Wild Frontier",1955,93,G,
"Littlest Outlaw, The",1955,73,NR,
"20,000 Leagues Under the Sea",1954,127,NR,
Peter Pan,1953,77,NR,
"Sword and the Rose, The",1953,92,NR,
Rob Roy: The Highland Rogue,1953,91,NR,
"Story of Robin Hood and His Merrie Men, The",1952,84,PG,
Alice in Wonderland,1951,75,G,
Cinderella,1950,74,G,
Treasure Island,1950,96,PG,
"Adventures of Ichabod and Mr. Toad, The",1949,68,NR,
Melody Time,1948,75,NR,
So Dear to My Heart,1948,82,G,
Fun & Fancy Free,1947,73,G,
Song of the South,1946,94,G,
Make Mine Music,1946,74,NR,
"Three Caballeros, The",1944,69,G,
Saludos Amigos,1943,75,NR,
Victory Through Air Power,1943,70,G,
Bambi,1942,69,NR,
Dumbo,1941,64,G,
"Reluctant Dragon, The",1941,74,NR,
Fantasia,1940,120,G,
Pinocchio,1940,88,G,
Snow White and the Seven Dwarfs,1937,83,NR,
